X,Y,Z,HAG,Intensity,Label
513963.61,5426958.57,181.22,0.0,14163,
513995.19,5426982.0200000005,180.89000000000001,0.0,14711,
513977.18,5427030.88,181.04,0.0,28055,
514023.86,5426986.17,183.38,0.0,21694,
513968.62,5426966.33,181.02,0.0,15108,
513979.17,5426970.38,182.88,1.6500000000000057,4527,
513967.11,5427002.5200000005,181.0,0.0,16169,
513979.87,5427012.5,180.96,0.0,20540,
514007.5,5426967.2700000005,181.1,0.0,25675,
514005.11,5426994.64,182.27,0.700000000000017,12062,
514015.19,5426995.41,183.71,0.0,21968,
513965.02,5427018.37,181.16,0.0,20772,
513983.42,5427031.67,183.07,1.6699999999999875,9035,
513996.9,5427023.59,183.96,2.950000000000017,10831,
514009.56,5427023.39,181.21,0.0,17020,
514023.28,5426966.73,183.38,0.0,22633,
513980.16000000003,5426958.38,180.94,0.0,12242,
513963.58,5426957.76,181.22,0.0,13533,
513964.24,5426959.16,181.17000000000002,0.0,13692,
513964.53,5426957.3,181.17000000000002,0.0,12525,
513964.23000000004,5426956.66,181.12,0.0,20731,
513964.29000000004,5426956.0600000005,181.18,0.0,12899,
513964.61,5426956.05,181.16,0.0,12520,
513963.87,5426957.44,181.23,0.0,11596,
513964.17,5426958.74,181.21,0.0,11697,
513964.0,5426959.22,181.21,0.0,11312,
513964.16000000003,5426955.98,181.17000000000002,0.0,12865,
513963.86,5426958.99,181.25,0.0,12669,
513963.68,5426958.51,181.20000000000002,0.0,15105,
513964.07,5426956.84,181.12,0.0,22011,
513964.0,5426957.37,181.20000000000002,0.0,13613,
513964.15,5426957.47,181.16,0.0,13136,
513968.93,5426957.65,181.1,0.0,12894,
513978.93,5426956.66,180.93,0.0,19839,
513989.43,5426957.21,181.20000000000002,0.0,13143,
513996.28,5426958.11,182.57,1.3199999999999932,3316,
514010.23000000004,5426958.44,181.20000000000002,0.0,16972,
513965.68,5426959.0200000005,181.17000000000002,0.0,13074,
513968.31,5426957.13,181.09,0.0,13851,
513969.25,5426956.92,181.02,0.0,20894,
513973.83,5426957.42,181.14000000000001,0.0,10842,
513976.94,5426959.19,181.13,0.0,11824,
513981.59,5426959.17,180.9,0.0,13848,
513983.64,5426957.73,180.83,0.0,12448,
513982.3,5426957.84,181.15,0.0,12465,
513986.83,5426957.24,181.62,0.5900000000000034,7786,
513992.05,5426958.4,181.43,0.03999999999999204,15536,
513988.98000000004,5426958.91,180.82,0.0,13473,
513967.92,5426959.04,181.33,0.0,19323,
513964.87,5426956.23,181.15,0.0,13756,
513966.77,5426956.5600000005,181.05,0.0,21405,
513967.83,5426956.7700000005,181.03,0.0,22547,
513968.71,5426958.53,181.11,0.0,12892,
513968.3,5426956.78,181.01,0.0,20973,
513970.89,5426958.62,181.05,0.0,17722,
513970.44,5426959.16,181.07,0.0,15595,
513974.46,5426959.0,181.11,0.0,12131,
513974.76,5426956.23,180.99,0.0,22488,
513973.66000000003,5426957.04,181.1,0.0,14567,
513974.66000000003,5426959.15,181.09,0.0,15170,
513974.41000000003,5426957.59,181.14000000000001,0.0,13030,
513977.59,5426958.47,181.06,0.0,11931,
